gate	condition	topology	beta_pair	mu_pair	is_control	n_seeds	mean_cycle_level	mean_stage3_score	mean_turn_strength	mean_env_gamma	level_counts_json	p_level_3	level3_seed_count	mean_player_weight_entropy	weight_heterogeneity_std	spatial_strategy_clustering	mean_edge_strategy_distance	graph_clustering_coeff	short_scout_pass	hard_stop_fail	longer_confirm_candidate	verdict	representative_seed	representative_simplex_png	representative_phase_amplitude_png	players	rounds	out_dir
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	yes	10	2.000000	0.513077	0.000976	-0.000002	"{""0"": 0, ""1"": 0, ""2"": 10, ""3"": 0}"	0.000000	0	1.093775	0.000000	0.000000	0.000000	0.000000			no	control	55	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed55_simplex.png	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed55_phase_amplitude.png	300	3000	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control
g2_c1_pairwise	g2_c1_small_world_b10p0_m0p5	small_world	10.000000	0.500000	no	10	2.000000	0.472242	0.000882	-0.000002	"{""0"": 0, ""1"": 1, ""2"": 8, ""3"": 1}"	0.100000	1	1.093778	0.000000	1.000000	0.000000	0.368803	no	no	no	weak_positive	49	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_small_world_b10p0_m0p5/seed49_simplex.png	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_small_world_b10p0_m0p5/seed49_phase_amplitude.png	300	3000	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_small_world_b10p0_m0p5
