gate	condition	topology	beta_pair	mu_pair	is_control	n_seeds	mean_cycle_level	mean_stage3_score	mean_turn_strength	mean_env_gamma	level_counts_json	p_level_3	level3_seed_count	mean_player_weight_entropy	weight_heterogeneity_std	spatial_strategy_clustering	mean_edge_strategy_distance	graph_clustering_coeff	short_scout_pass	hard_stop_fail	longer_confirm_candidate	verdict	representative_seed	representative_simplex_png	representative_phase_amplitude_png	players	rounds	out_dir
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	yes	10	1.500000	0.251382	0.000484	0.000001	"{""0"": 0, ""1"": 5, ""2"": 5, ""3"": 0}"	0.000000	0	1.093775	0.000000	0.000000	0.000000	0.000000			no	control	53	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed53_simplex.png	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed53_phase_amplitude.png	300	5000	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control
g2_c1_pairwise	g2_c1_small_world_b10p0_m0p5	small_world	10.000000	0.500000	no	10	1.600000	0.306787	0.000594	-0.000001	"{""0"": 0, ""1"": 4, ""2"": 6, ""3"": 0}"	0.000000	0	1.093778	0.000000	1.000000	0.000000	0.368803	no	yes	no	fail	45	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed45_phase_amplitude.png	300	5000	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5
