condition	beta_state_k	k_base	is_control	n_seeds	mean_cycle_level	mean_stage3_score	mean_turn_strength	mean_env_gamma	level_counts_json	p_level_3	level3_seed_count	control_mean_env_gamma	control_mean_stage3_score	gamma_uplift_ratio_vs_control	stage3_uplift_vs_control	mean_k_clamped_ratio	mean_effective_k	mean_state_dominance	mean_state_k_factor	gamma_gate_pass	short_scout_pass	hard_stop_fail	longer_confirm_candidate	verdict	representative_seed	representative_simplex_png	enable_events	events_json	selection_strength	memory_kernel	players	rounds	out_dir
beta0p00_k0p08	0.000000	0.080000	yes	10	2.000000	0.515365	0.000253	0.000118	"{""0"": 0, ""1"": 0, ""2"": 10, ""3"": 0}"	0.000000	0	0.000118	0.515365	1.000000	0.000000	0.000000	0.080000	0.557634	1.000000	yes	no	no	no	control	51	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed51_simplex.png	yes	/home/user/personality-dungeon/docs/personality_dungeon_v1/02_event_templates_v1.json	0.080000	3	300	3000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08
beta0p60_k0p08	0.600000	0.080000	no	10	2.000000	0.510889	0.000322	0.000290	"{""0"": 0, ""1"": 0, ""2"": 10, ""3"": 0}"	0.000000	0	0.000118	0.515365	2.457627	-0.004476	0.000000	0.056952	0.671542	0.711907	yes	no	yes	no	fail	52	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed52_simplex.png	yes	/home/user/personality-dungeon/docs/personality_dungeon_v1/02_event_templates_v1.json	0.080000	3	300	3000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08
