round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,phase
1,0.25,0.5,0.25,0.07500000000000001,1.0397207705399178,0.001583881484062367,burn-in
2,0.25,0.25,0.5,0.09375000000000003,1.0397207705399178,0.0014621972621138902,burn-in
3,0.25,0.75,0.0,0.15000000000000002,0.5623351444188083,0.0021036509268940453,burn-in
4,0.25,0.25,0.5,0.22500000000000003,1.0397207705399178,0.004070131720500202,burn-in
5,0.25,0.25,0.5,0.28125,1.0397207705399178,0.004833512927697822,burn-in
6,0.25,0.5,0.25,0.3375,1.0397207705399178,0.0056058315370890385,burn-in
7,0.25,0.25,0.5,0.35625,1.0397207705399178,0.004963965201412417,burn-in
8,0.75,0.25,0.0,0.41250000000000003,0.5623351444188083,0.004767352259844519,burn-in
9,0.5,0.25,0.25,0.43124999999999997,1.0397207705399178,0.004947872806823196,burn-in
10,0.0,0.25,0.75,0.48749999999999993,0.5623351444188083,0.004310234912391699,burn-in
11,0.25,0.25,0.5,0.54375,1.0397207705399178,0.007560950254432361,burn-in
12,0.25,0.5,0.25,0.5999999999999999,1.0397207705399178,0.008862673609410713,burn-in
13,0.0,0.0,1.0,0.54375,-1.000000082690371e-10,0.007772341229928397,burn-in
14,0.25,0.5,0.25,0.5999999999999999,1.0397207705399178,0.006245632154309497,burn-in
15,0.0,0.25,0.75,0.5249999999999998,0.5623351444188083,0.004338250915627693,burn-in
16,0.75,0.0,0.25,0.5437499999999997,0.5623351444188083,0.0031110277921631165,burn-in
17,0.75,0.25,0.0,0.4687499999999998,0.5623351444188083,0.0021056358319862683,burn-in
18,0.5,0.25,0.25,0.4874999999999998,1.0397207705399178,0.0025566710465520837,burn-in
19,0.25,0.5,0.25,0.5437499999999997,1.0397207705399178,0.0022939382680834852,burn-in
20,0.0,0.25,0.75,0.5624999999999998,0.5623351444188083,0.0020842966522840213,burn-in
21,0.25,0.25,0.5,0.6187499999999998,1.0397207705399178,0.0022232934700949594,burn-in
22,0.25,0.0,0.75,0.6374999999999997,0.5623351444188083,0.002200778153101018,burn-in
23,0.5,0.5,0.0,0.7124999999999997,0.6931471803599453,0.0009504316453591564,burn-in
24,0.0,0.5,0.5,0.6374999999999996,0.6931471803599453,0.0021557467206540994,burn-in
25,0.25,0.5,0.25,0.6937499999999996,1.0397207705399178,0.0023812053437048623,burn-in
26,0.5,0.0,0.5,0.6187499999999997,0.6931471803599453,0.004163019236883983,burn-in
27,0.25,0.25,0.5,0.6749999999999996,1.0397207705399178,0.002967799555460005,burn-in
28,0.5,0.25,0.25,0.7499999999999996,1.0397207705399178,0.0016379359576579548,burn-in
29,0.0,1.0,0.0,0.8249999999999996,-1.000000082690371e-10,0.0034214429268056962,burn-in
30,0.25,0.25,0.5,0.8437499999999997,1.0397207705399178,0.0035392914829650234,burn-in
31,0.25,0.5,0.25,0.8999999999999997,1.0397207705399178,0.003271529915209557,burn-in
32,0.5,0.25,0.25,0.9749999999999996,1.0397207705399178,0.004007777811469976,burn-in
33,0.25,0.25,0.5,0.8999999999999997,1.0397207705399178,0.0038844810088779296,burn-in
34,0.25,0.0,0.75,0.9562499999999997,0.5623351444188083,0.006608199018706496,burn-in
35,0.25,0.25,0.5,0.8812499999999998,1.0397207705399178,0.007850428763502905,burn-in
36,0.25,0.75,0.0,0.9562499999999998,0.5623351444188083,0.006714662839533445,burn-in
37,0.5,0.25,0.25,1.0125,1.0397207705399178,0.006954355774341081,burn-in
38,0.25,0.5,0.25,0.9375,1.0397207705399178,0.007744299538836444,burn-in
39,1.0,0.0,0.0,0.9562499999999998,-1.000000082690371e-10,0.008831957440014195,burn-in
40,0.25,0.5,0.25,0.8812499999999999,1.0397207705399178,0.010641857542010443,burn-in
41,0.5,0.25,0.25,0.9374999999999999,1.0397207705399178,0.00984077335947232,burn-in
42,0.5,0.25,0.25,0.9562499999999999,1.0397207705399178,0.009706835542544224,burn-in
43,0.75,0.25,0.0,0.9,0.5623351444188083,0.010517434475735459,burn-in
44,0.75,0.25,0.0,0.91875,0.5623351444188083,0.01186956655666309,burn-in
45,0.25,0.25,0.5,0.9937499999999999,1.0397207705399178,0.01007620163601947,burn-in
46,0.25,0.5,0.25,0.9374999999999999,1.0397207705399178,0.010927872747144206,burn-in
47,0.0,0.5,0.5,0.8812499999999999,0.6931471803599453,0.0118681449512269,burn-in
