round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,phase
1,0.25,0.5,0.25,0.07500000000000001,1.0397207705399178,0.0039597037101559,burn-in
2,0.25,0.25,0.5,0.09375000000000003,1.0397207705399178,0.0036554931552847413,burn-in
3,0.25,0.75,0.0,0.15000000000000002,0.5623351444188083,0.005259127317235198,burn-in
4,0.25,0.25,0.5,0.22500000000000003,1.0397207705399178,0.01017532930125068,burn-in
5,0.25,0.25,0.5,0.28125,1.0397207705399178,0.012083782319244696,burn-in
6,0.25,0.5,0.25,0.3375,1.0397207705399178,0.014014578842722699,burn-in
7,0.25,0.25,0.5,0.35625,1.0397207705399178,0.012409913003531087,burn-in
8,0.75,0.25,0.0,0.41250000000000003,0.5623351444188083,0.011918380649611314,burn-in
9,0.5,0.25,0.25,0.43124999999999997,1.0397207705399178,0.012369682017057914,burn-in
10,0.0,0.25,0.75,0.48749999999999993,0.5623351444188083,0.0107755872809792,burn-in
11,0.25,0.25,0.5,0.54375,1.0397207705399178,0.0189023756360808,burn-in
12,0.25,0.5,0.25,0.5999999999999999,1.0397207705399178,0.022156684023526694,burn-in
13,0.0,0.0,1.0,0.54375,-1.000000082690371e-10,0.019430853074820953,burn-in
14,0.25,0.5,0.25,0.5999999999999999,1.0397207705399178,0.015614080385773712,burn-in
15,0.0,0.25,0.75,0.5249999999999998,0.5623351444188083,0.010845627289069204,burn-in
16,0.75,0.0,0.25,0.5437499999999997,0.5623351444188083,0.007777569480407673,burn-in
17,0.75,0.25,0.0,0.4687499999999998,0.5623351444188083,0.005264089579965576,burn-in
18,0.5,0.25,0.25,0.4874999999999998,1.0397207705399178,0.006391677616380203,burn-in
19,0.25,0.5,0.25,0.5437499999999997,1.0397207705399178,0.005734845670208606,burn-in
20,0.0,0.25,0.75,0.5624999999999998,0.5623351444188083,0.005210741630709899,burn-in
21,0.25,0.25,0.5,0.6187499999999998,1.0397207705399178,0.005558233675237214,burn-in
22,0.25,0.0,0.75,0.6374999999999997,0.5623351444188083,0.0055019453827524515,burn-in
23,0.5,0.5,0.0,0.7124999999999997,0.6931471803599453,0.0023760791133976573,burn-in
24,0.0,0.5,0.5,0.6374999999999996,0.6931471803599453,0.005389366801635355,burn-in
25,0.25,0.5,0.25,0.6937499999999996,1.0397207705399178,0.00595301335926229,burn-in
26,0.5,0.0,0.5,0.6187499999999997,0.6931471803599453,0.010407548092210157,burn-in
27,0.25,0.25,0.5,0.6749999999999996,1.0397207705399178,0.007419498888650162,burn-in
28,0.5,0.25,0.25,0.7499999999999996,1.0397207705399178,0.0040948398941448175,burn-in
29,0.0,1.0,0.0,0.8249999999999996,-1.000000082690371e-10,0.008553607317014255,burn-in
30,0.25,0.25,0.5,0.8437499999999997,1.0397207705399178,0.008848228707412555,burn-in
31,0.25,0.5,0.25,0.8999999999999997,1.0397207705399178,0.008178824788023842,burn-in
32,0.5,0.25,0.25,0.9749999999999996,1.0397207705399178,0.01001944452867487,burn-in
33,0.25,0.25,0.5,0.8999999999999997,1.0397207705399178,0.009711202522194758,burn-in
34,0.25,0.0,0.75,0.9562499999999997,0.5623351444188083,0.016520497546766134,burn-in
35,0.25,0.25,0.5,0.8812499999999998,1.0397207705399178,0.019626071908757148,burn-in
36,0.25,0.75,0.0,0.9562499999999998,0.5623351444188083,0.01678665709883349,burn-in
37,0.5,0.25,0.25,1.0125,1.0397207705399178,0.017385889435852616,burn-in
38,0.25,0.5,0.25,0.9375,1.0397207705399178,0.019360748847091033,burn-in
39,1.0,0.0,0.0,0.9562499999999998,-1.000000082690371e-10,0.022079893600035472,burn-in
40,0.25,0.5,0.25,0.8812499999999999,1.0397207705399178,0.026604643855026092,burn-in
41,0.5,0.25,0.25,0.9374999999999999,1.0397207705399178,0.024601933398680775,burn-in
42,0.5,0.25,0.25,0.9562499999999999,1.0397207705399178,0.024267088856360596,burn-in
43,0.75,0.25,0.0,0.9,0.5623351444188083,0.026293586189338664,burn-in
44,0.75,0.25,0.0,0.91875,0.5623351444188083,0.029673916391657826,burn-in
45,0.25,0.25,0.5,0.9937499999999999,1.0397207705399178,0.025190504090048763,burn-in
46,0.25,0.5,0.25,0.9374999999999999,1.0397207705399178,0.027319681867860584,burn-in
47,0.0,0.5,0.5,0.8812499999999999,0.6931471803599453,0.029670362378067305,burn-in
48,0.5,0.5,0.0,0.9562499999999997,0.6931471803599453,0.034064291810670284,burn-in
49,0.5,0.5,0.0,1.0124999999999997,0.6931471803599453,0.032045601459742716,burn-in
50,0.5,0.0,0.5,1.0687499999999996,0.6931471803599453,0.03415623451318645,burn-in
51,0.5,0.5,0.0,1.0874999999999997,0.6931471803599453,0.03460279047597107,tail
52,0.25,0.5,0.25,1.1062499999999997,1.0397207705399178,0.035051241709187664,tail
53,0.0,0.5,0.5,1.1249999999999996,0.6931471803599453,0.0355015163903687,tail
54,0.25,0.0,0.75,1.1812499999999997,0.5623351444188083,0.037614408808327594,tail
55,0.25,0.75,0.0,1.2374999999999996,0.5623351444188083,0.03261108195101195,tail
56,0.75,0.0,0.25,1.1812499999999997,0.5623351444188083,0.034820814885719524,tail
57,0.5,0.0,0.5,1.1999999999999997,0.6931471803599453,0.03529111861907193,tail
58,0.25,0.25,0.5,1.2187499999999996,1.0397207705399178,0.035762671062059145,tail
59,0.0,0.75,0.25,1.2749999999999997,0.5623351444188083,0.037797368772898736,tail
60,0.0,0.25,0.75,1.2937499999999995,0.5623351444188083,0.037416972611499594,tail
61,0.5,0.5,0.0,1.3124999999999996,0.6931471803599453,0.03703894998767144,tail
62,0.5,0.0,0.5,1.3687499999999995,0.6931471803599453,0.03509620644168273,tail
63,0.25,0.25,0.5,1.3687499999999995,1.0397207705399178,0.03509620644168273,tail
64,0.25,0.25,0.5,1.3687499999999995,1.0397207705399178,0.03509620644168273,tail
65,1.0,0.0,0.0,1.3124999999999996,-1.000000082690371e-10,0.037456300492902016,tail
66,0.5,0.0,0.5,1.3874999999999995,0.6931471803599453,0.03295819588177178,tail
67,0.75,0.0,0.25,1.4437499999999994,0.5623351444188083,0.03354497225882702,tail
68,0.25,0.25,0.5,1.4624999999999992,1.0397207705399178,0.036890895599976846,tail
69,0.5,0.25,0.25,1.5374999999999994,1.0397207705399178,0.032449640888512016,tail
70,0.5,0.25,0.25,1.6124999999999996,1.0397207705399178,0.028199181203175074,tail
71,0.5,0.0,0.5,1.6687499999999997,0.6931471803599453,0.026217841578091015,tail
72,0.5,0.0,0.5,1.7249999999999996,0.6931471803599453,0.0244700365287223,tail
73,0.5,0.5,0.0,1.7437499999999997,0.6931471803599453,0.024222501949518662,tail
74,0.0,0.75,0.25,1.7999999999999996,0.5623351444188083,0.026425671379472895,tail
75,0.25,0.25,0.5,1.7249999999999996,1.0397207705399178,0.029430136733179978,tail
76,0.5,0.5,0.0,1.7812499999999996,0.6931471803599453,0.027416322344595536,tail
77,0.25,0.0,0.75,1.7999999999999998,0.5623351444188083,0.031107803653322597,tail
78,0.0,0.25,0.75,1.8562499999999997,0.5623351444188083,0.038832307859314026,tail
79,0.5,0.0,0.5,1.9124999999999999,0.6931471803599453,0.03670944954614396,tail
80,0.5,0.25,0.25,1.8562499999999997,1.0397207705399178,0.03858882074627996,tail
81,0.5,0.0,0.5,1.9124999999999996,0.6931471803599453,0.039215965898302056,tail
82,0.5,0.0,0.5,1.93125,0.6931471803599453,0.03960059930452771,tail
83,1.0,0.0,0.0,1.9874999999999998,-1.000000082690371e-10,0.03771330574087213,tail
84,0.5,0.0,0.5,2.0625,0.6931471803599453,0.03383445940821526,tail
85,0.5,0.0,0.5,2.11875,0.6931471803599453,0.03245444732634754,tail
86,0.5,0.25,0.25,2.1374999999999997,1.0397207705399178,0.03221860434146384,tail
87,0.75,0.0,0.25,2.2125,0.5623351444188083,0.03702324617559161,tail
88,0.5,0.0,0.5,2.26875,0.6931471803599453,0.035499720708139254,tail
89,0.25,0.25,0.5,2.1937499999999996,1.0397207705399178,0.037965043614821975,tail
90,0.25,0.25,0.5,2.26875,1.0397207705399178,0.03527542493555065,tail
91,0.0,1.0,0.0,2.2874999999999996,-1.000000082690371e-10,0.03763035250837417,tail
92,0.25,0.25,0.5,2.2124999999999995,1.0397207705399178,0.0403507788894816,tail
