round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,phase
1,0.25,0.25,0.5,0.0,1.0397207705399178,0.0,burn-in
2,0.5,0.25,0.25,0.018749999999999996,1.0397207705399178,0.00030935921676912624,burn-in
3,0.25,0.5,0.25,0.07499999999999997,1.0397207705399178,0.0015747178566730372,burn-in
4,0.5,0.0,0.5,0.09374999999999994,0.6931471803599453,0.0010536163542177019,burn-in
5,0.25,0.5,0.25,0.14999999999999997,1.0397207705399178,0.0007547052922333494,burn-in
6,0.0,0.25,0.75,0.09374999999999992,0.5623351444188083,0.0013480128604263816,burn-in
7,0.25,0.5,0.25,0.14999999999999986,1.0397207705399178,0.005706826709630304,burn-in
8,0.25,0.5,0.25,0.16874999999999987,1.0397207705399178,0.007952541727138239,burn-in
9,0.25,0.5,0.25,0.09374999999999989,1.0397207705399178,0.010588482742908684,burn-in
10,0.5,0.25,0.25,0.037499999999999825,1.0397207705399178,0.01185722353673066,burn-in
11,0.5,0.25,0.25,0.09374999999999983,1.0397207705399178,0.013117976171198219,burn-in
12,0.25,0.5,0.25,0.03749999999999981,1.0397207705399178,0.014482655642288934,burn-in
13,0.25,0.5,0.25,0.0562499999999998,1.0397207705399178,0.014256269180171168,burn-in
14,0.25,0.25,0.5,0.1312499999999998,1.0397207705399178,0.011757186964257167,burn-in
15,0.75,0.0,0.25,0.05624999999999984,0.5623351444188083,0.014589667523199375,burn-in
16,0.25,0.25,0.5,-0.01875000000000014,1.0397207705399178,0.017608175702283835,burn-in
17,0.0,0.25,0.75,0.0374999999999997,0.5623351444188083,0.016477353362361453,burn-in
18,0.75,0.25,0.0,0.11249999999999975,0.5623351444188083,0.013839172846601936,burn-in
19,0.5,0.5,0.0,0.05624999999999976,0.6931471803599453,0.015084689309445475,burn-in
20,0.5,0.5,0.0,0.1124999999999998,0.6931471803599453,0.013952635069786066,burn-in
21,0.5,0.25,0.25,0.18749999999999983,1.0397207705399178,0.016556669079728095,burn-in
22,0.5,0.0,0.5,0.24374999999999986,0.6931471803599453,0.016905701238783318,burn-in
23,0.5,0.25,0.25,0.2624999999999998,1.0397207705399178,0.016692831837816627,burn-in
24,0.0,0.75,0.25,0.3187499999999998,0.5623351444188083,0.015521563881017266,burn-in
25,0.5,0.5,0.0,0.3937499999999998,0.6931471803599453,0.01820437898041294,burn-in
26,0.25,0.25,0.5,0.33749999999999986,1.0397207705399178,0.019454957243029977,burn-in
27,0.5,0.0,0.5,0.26249999999999984,0.6931471803599453,0.021931517391145666,burn-in
28,0.25,0.25,0.5,0.18749999999999978,1.0397207705399178,0.025064745262581976,burn-in
29,0.5,0.25,0.25,0.2437499999999998,1.0397207705399178,0.025394562194739668,burn-in
30,0.5,0.0,0.5,0.2624999999999998,0.6931471803599453,0.02626426788582022,burn-in
31,0.5,0.25,0.25,0.33749999999999986,1.0397207705399178,0.023446274399211632,burn-in
32,0.25,0.25,0.5,0.3937499999999998,1.0397207705399178,0.021928394655959253,burn-in
33,0.0,0.5,0.5,0.44999999999999984,0.6931471803599453,0.02068223592391551,burn-in
34,0.5,0.25,0.25,0.5062499999999999,1.0397207705399178,0.02102958411864407,burn-in
35,0.5,0.25,0.25,0.5249999999999998,1.0397207705399178,0.020803383419981267,burn-in
36,0.75,0.25,0.0,0.5437499999999997,0.5623351444188083,0.020578765650619724,burn-in
37,0.25,0.75,0.0,0.46874999999999967,0.5623351444188083,0.023629241724040295,burn-in
38,0.25,0.0,0.75,0.5437499999999997,0.5623351444188083,0.02092945857704223,burn-in
39,0.25,0.5,0.25,0.5624999999999997,1.0397207705399178,0.02171001398044811,burn-in
40,0.5,0.25,0.25,0.6374999999999996,1.0397207705399178,0.02439655497260327,burn-in
41,0.0,0.5,0.5,0.6937499999999995,0.6931471803599453,0.02566237270882952,burn-in
42,0.0,1.0,0.0,0.7687499999999995,-1.000000082690371e-10,0.023239260582511603,burn-in
43,0.25,0.75,0.0,0.8249999999999995,0.5623351444188083,0.022056855687348165,burn-in
44,0.5,0.5,0.0,0.8999999999999995,0.6931471803599453,0.019802565529812115,burn-in
45,0.5,0.5,0.0,0.9187499999999995,0.6931471803599453,0.020025520826560374,burn-in
46,0.75,0.25,0.0,0.9937499999999995,0.5623351444188083,0.01796834238668117,burn-in
47,0.25,0.5,0.25,0.9187499999999994,1.0397207705399178,0.020283103728842972,burn-in
48,0.25,0.25,0.5,0.9749999999999994,1.0397207705399178,0.019425865690169467,burn-in
49,0.5,0.25,0.25,0.8999999999999995,1.0397207705399178,0.02123825502630815,burn-in
50,0.5,0.25,0.25,0.9562499999999995,1.0397207705399178,0.022561488247744833,burn-in
51,1.0,0.0,0.0,0.9749999999999994,-1.000000082690371e-10,0.02238319289598231,tail
52,0.0,0.25,0.75,1.0312499999999996,0.5623351444188083,0.02275769851713654,tail
53,0.0,0.25,0.75,1.0874999999999995,0.5623351444188083,0.021580517834380256,tail
54,0.75,0.0,0.25,1.1437499999999994,0.5623351444188083,0.020737500941832496,tail
55,0.25,0.0,0.75,1.2187499999999996,0.5623351444188083,0.01840476437128449,tail
56,0.5,0.5,0.0,1.2749999999999995,0.6931471803599453,0.017140454078455106,tail
57,0.5,0.25,0.25,1.2937499999999995,1.0397207705399178,0.01769878725541679,tail
58,1.0,0.0,0.0,1.3499999999999996,-1.000000082690371e-10,0.015511533322519375,tail
59,0.25,0.25,0.5,1.4062499999999996,1.0397207705399178,0.01500426371694073,tail
60,0.5,0.25,0.25,1.4624999999999995,1.0397207705399178,0.013818658482849522,tail
61,0.25,0.25,0.5,1.5187499999999994,1.0397207705399178,0.01094624650279733,tail
62,0.25,0.0,0.75,1.5937499999999993,0.5623351444188083,0.00900954355114631,tail
63,0.0,0.25,0.75,1.5374999999999994,0.5623351444188083,0.0116775734917941,tail
64,0.5,0.25,0.25,1.6124999999999996,1.0397207705399178,0.00962654715649654,tail
65,0.0,0.25,0.75,1.6687499999999995,0.5623351444188083,0.010786581562148258,tail
66,0.25,0.25,0.5,1.7249999999999994,1.0397207705399178,0.010035009517465672,tail
67,0.5,0.5,0.0,1.7812499999999993,0.6931471803599453,0.010366854859961238,tail
68,0.25,0.0,0.75,1.8562499999999995,0.5623351444188083,0.00838752561471507,tail
69,0.5,0.25,0.25,1.9124999999999992,1.0397207705399178,0.008108471770508087,tail
70,0.5,0.25,0.25,1.8562499999999997,1.0397207705399178,0.011291038430017254,tail
