round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,phase
1,0.25,0.5,0.25,0.07500000000000001,1.0397207705399178,0.003167762968124684,burn-in
2,0.25,0.25,0.5,0.09375000000000003,1.0397207705399178,0.0029243945242277574,burn-in
3,0.25,0.75,0.0,0.15000000000000002,0.5623351444188083,0.004207301853788119,burn-in
4,0.25,0.25,0.5,0.22500000000000003,1.0397207705399178,0.008140263441000474,burn-in
5,0.25,0.25,0.5,0.28125,1.0397207705399178,0.009667025855395672,burn-in
6,0.25,0.5,0.25,0.3375,1.0397207705399178,0.01121166307417806,burn-in
7,0.25,0.25,0.5,0.35625,1.0397207705399178,0.00992793040282475,burn-in
8,0.75,0.25,0.0,0.41250000000000003,0.5623351444188083,0.009534704519688944,burn-in
9,0.5,0.25,0.25,0.43124999999999997,1.0397207705399178,0.00989574561364623,burn-in
10,0.0,0.25,0.75,0.48749999999999993,0.5623351444188083,0.00862046982478327,burn-in
11,0.25,0.25,0.5,0.54375,1.0397207705399178,0.015121900508864574,burn-in
12,0.25,0.5,0.25,0.5999999999999999,1.0397207705399178,0.01772534721882129,burn-in
13,0.0,0.0,1.0,0.54375,-1.000000082690371e-10,0.015544682459856662,burn-in
14,0.25,0.5,0.25,0.5999999999999999,1.0397207705399178,0.012491264308618875,burn-in
15,0.0,0.25,0.75,0.5249999999999998,0.5623351444188083,0.00867650183125528,burn-in
16,0.75,0.0,0.25,0.5437499999999997,0.5623351444188083,0.006222055584326074,burn-in
17,0.75,0.25,0.0,0.4687499999999998,0.5623351444188083,0.004211271663972464,burn-in
18,0.5,0.25,0.25,0.4874999999999998,1.0397207705399178,0.005113342093104217,burn-in
19,0.25,0.5,0.25,0.5437499999999997,1.0397207705399178,0.004587876536166902,burn-in
20,0.0,0.25,0.75,0.5624999999999998,0.5623351444188083,0.004168593304567942,burn-in
21,0.25,0.25,0.5,0.6187499999999998,1.0397207705399178,0.0044465869401897565,burn-in
22,0.25,0.0,0.75,0.6374999999999997,0.5623351444188083,0.004401556306202023,burn-in
23,0.5,0.5,0.0,0.7124999999999997,0.6931471803599453,0.0019008632907181343,burn-in
24,0.0,0.5,0.5,0.6374999999999996,0.6931471803599453,0.00431149344130841,burn-in
25,0.25,0.5,0.25,0.6937499999999996,1.0397207705399178,0.004762410687409949,burn-in
26,0.5,0.0,0.5,0.6187499999999997,0.6931471803599453,0.00832603847376824,burn-in
27,0.25,0.25,0.5,0.6749999999999996,1.0397207705399178,0.005935599110920243,burn-in
28,0.5,0.25,0.25,0.7499999999999996,1.0397207705399178,0.003275871915315929,burn-in
29,0.0,1.0,0.0,0.8249999999999996,-1.000000082690371e-10,0.006842885853611478,burn-in
30,0.25,0.25,0.5,0.8437499999999997,1.0397207705399178,0.0070785829659301205,burn-in
31,0.25,0.5,0.25,0.8999999999999997,1.0397207705399178,0.006543059830419104,burn-in
32,0.5,0.25,0.25,0.9749999999999996,1.0397207705399178,0.008015555622939825,burn-in
33,0.25,0.25,0.5,0.8999999999999997,1.0397207705399178,0.0077689620177558245,burn-in
34,0.25,0.0,0.75,0.9562499999999997,0.5623351444188083,0.013216398037412968,burn-in
35,0.25,0.25,0.5,0.8812499999999998,1.0397207705399178,0.015700857527005806,burn-in
36,0.25,0.75,0.0,0.9562499999999998,0.5623351444188083,0.01342932567906687,burn-in
37,0.5,0.25,0.25,1.0125,1.0397207705399178,0.013908711548682161,burn-in
38,0.25,0.5,0.25,0.9375,1.0397207705399178,0.01548859907767294,burn-in
39,1.0,0.0,0.0,0.9562499999999998,-1.000000082690371e-10,0.01766391488002851,burn-in
40,0.25,0.5,0.25,0.8812499999999999,1.0397207705399178,0.021283715084021014,burn-in
41,0.5,0.25,0.25,0.9374999999999999,1.0397207705399178,0.019681546718944752,burn-in
42,0.5,0.25,0.25,0.9562499999999999,1.0397207705399178,0.019413671085088603,burn-in
43,0.75,0.25,0.0,0.9,0.5623351444188083,0.021034868951471095,burn-in
44,0.75,0.25,0.0,0.91875,0.5623351444188083,0.02373913311332643,burn-in
45,0.25,0.25,0.5,0.9937499999999999,1.0397207705399178,0.02015240327203921,burn-in
46,0.25,0.5,0.25,0.9374999999999999,1.0397207705399178,0.021855745494288707,burn-in
47,0.0,0.5,0.5,0.8812499999999999,0.6931471803599453,0.023736289902454105,burn-in
48,0.5,0.5,0.0,0.9562499999999997,0.6931471803599453,0.027251433448536456,burn-in
49,0.5,0.5,0.0,1.0124999999999997,0.6931471803599453,0.025636481167794396,burn-in
50,0.5,0.0,0.5,1.0687499999999996,0.6931471803599453,0.027324987610549363,burn-in
51,0.5,0.5,0.0,1.0874999999999997,0.6931471803599453,0.027682232380777064,tail
52,0.25,0.5,0.25,1.1062499999999997,1.0397207705399178,0.02804099336735034,tail
53,0.0,0.5,0.5,1.1249999999999996,0.6931471803599453,0.028401213112295175,tail
54,0.25,0.0,0.75,1.1812499999999997,0.5623351444188083,0.030091527046662268,tail
55,0.25,0.75,0.0,1.2374999999999996,0.5623351444188083,0.02608886556080978,tail
56,0.75,0.0,0.25,1.1812499999999997,0.5623351444188083,0.027856651908575877,tail
57,0.5,0.0,0.5,1.1999999999999997,0.6931471803599453,0.02823289489525781,tail
58,0.25,0.25,0.5,1.2187499999999996,1.0397207705399178,0.028610136849647586,tail
59,0.0,0.75,0.25,1.2749999999999997,0.5623351444188083,0.030237895018319236,tail
60,0.0,0.25,0.75,1.2937499999999995,0.5623351444188083,0.029933578089199917,tail
61,0.5,0.5,0.0,1.3124999999999996,0.6931471803599453,0.02963115999013739,tail
62,0.5,0.0,0.5,1.3687499999999995,0.6931471803599453,0.028076965153346414,tail
63,0.25,0.25,0.5,1.3687499999999995,1.0397207705399178,0.028076965153346414,tail
64,0.25,0.25,0.5,1.3687499999999995,1.0397207705399178,0.028076965153346414,tail
65,1.0,0.0,0.0,1.3124999999999996,-1.000000082690371e-10,0.02996504039432187,tail
66,0.5,0.0,0.5,1.3874999999999995,0.6931471803599453,0.026366556705417685,tail
67,0.75,0.0,0.25,1.4437499999999994,0.5623351444188083,0.02683597780706186,tail
68,0.25,0.25,0.5,1.4624999999999992,1.0397207705399178,0.02951271647998173,tail
69,0.5,0.25,0.25,1.5374999999999994,1.0397207705399178,0.025959712710809883,tail
70,0.5,0.25,0.25,1.6124999999999996,1.0397207705399178,0.022559344962540338,tail
71,0.5,0.0,0.5,1.6687499999999997,0.6931471803599453,0.020974273262473066,tail
72,0.5,0.0,0.5,1.7249999999999996,0.6931471803599453,0.01957602922297806,tail
73,0.5,0.5,0.0,1.7437499999999997,0.6931471803599453,0.019378001559615138,tail
74,0.0,0.75,0.25,1.7999999999999996,0.5623351444188083,0.021140537103578508,tail
75,0.25,0.25,0.5,1.7249999999999996,1.0397207705399178,0.02354410938654424,tail
76,0.5,0.5,0.0,1.7812499999999996,0.6931471803599453,0.021933057875676645,tail
77,0.25,0.0,0.75,1.7999999999999998,0.5623351444188083,0.024886242922658276,tail
78,0.0,0.25,0.75,1.8562499999999997,0.5623351444188083,0.031065846287451414,tail
79,0.5,0.0,0.5,1.9124999999999999,0.6931471803599453,0.02936755963691535,tail
80,0.5,0.25,0.25,1.8562499999999997,1.0397207705399178,0.03087105659702418,tail
81,0.5,0.0,0.5,1.9124999999999996,0.6931471803599453,0.03137277271864185,tail
82,0.5,0.0,0.5,1.93125,0.6931471803599453,0.03168047944362237,tail
83,1.0,0.0,0.0,1.9874999999999998,-1.000000082690371e-10,0.030170644592697873,tail
84,0.5,0.0,0.5,2.0625,0.6931471803599453,0.02706756752657241,tail
85,0.5,0.0,0.5,2.11875,0.6931471803599453,0.025963557861078224,tail
86,0.5,0.25,0.25,2.1374999999999997,1.0397207705399178,0.02577488347317126,tail
87,0.75,0.0,0.25,2.2125,0.5623351444188083,0.029618596940473443,tail
88,0.5,0.0,0.5,2.26875,0.6931471803599453,0.028399776566511513,tail
89,0.25,0.25,0.5,2.1937499999999996,1.0397207705399178,0.03037203489185775,tail
90,0.25,0.25,0.5,2.26875,1.0397207705399178,0.02822033994844064,tail
91,0.0,1.0,0.0,2.2874999999999996,-1.000000082690371e-10,0.03010428200669949,tail
92,0.25,0.25,0.5,2.2124999999999995,1.0397207705399178,0.032280623111585506,tail
93,0.25,0.0,0.75,2.26875,0.5623351444188083,0.027834370302539435,tail
94,0.25,0.25,0.5,2.2874999999999996,1.0397207705399178,0.02732901388634433,tail
95,0.5,0.0,0.5,2.3437499999999996,0.6931471803599453,0.026378554262885604,tail
96,0.25,0.0,0.75,2.26875,0.5623351444188083,0.029196680985268855,tail
97,0.5,0.0,0.5,2.2874999999999996,0.6931471803599453,0.03218464118911731,tail
98,0.25,0.25,0.5,2.3062499999999995,1.0397207705399178,0.031678451754395466,tail
99,0.0,1.0,0.0,2.3624999999999994,-1.000000082690371e-10,0.029977371384744413,tail
100,0.25,0.0,0.75,2.437499999999999,0.5623351444188083,0.027945577380667743,tail
101,0.5,0.5,0.0,2.456249999999999,0.6931471803599453,0.029757738547682436,tail
102,0.25,0.25,0.5,2.381249999999999,1.0397207705399178,0.0327851076138238,tail
103,0.0,0.5,0.5,2.456249999999999,0.6931471803599453,0.03660883815760897,tail
104,0.5,0.25,0.25,2.5124999999999993,1.0397207705399178,0.035342477442951846,tail
105,0.5,0.5,0.0,2.587499999999999,0.6931471803599453,0.033270154971168316,tail
106,0.25,0.25,0.5,2.5312499999999987,1.0397207705399178,0.034531116452733254,tail
107,0.0,0.75,0.25,2.5312499999999987,0.5623351444188083,0.034531116452733254,tail
108,0.25,0.5,0.25,2.549999999999999,1.0397207705399178,0.034792496247594694,tail
109,0.25,0.5,0.25,2.624999999999999,1.0397207705399178,0.03171170727778978,tail
110,0.75,0.0,0.25,2.681249999999999,0.5623351444188083,0.030582517302918912,tail
111,0.75,0.0,0.25,2.6999999999999993,0.5623351444188083,0.030831651136544024,tail
112,0.75,0.25,0.0,2.7562499999999988,0.5623351444188083,0.031328207692464985,tail
113,0.25,0.5,0.25,2.774999999999999,1.0397207705399178,0.031581079515009186,tail
114,0.0,0.25,0.75,2.831249999999999,0.5623351444188083,0.029912060056197304,tail
115,0.5,0.5,0.0,2.8874999999999993,0.6931471803599453,0.028249600537982006,tail
116,0.25,0.25,0.5,2.8874999999999993,1.0397207705399178,0.028249600537982006,tail
