round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,personality_velocity,phase
1,0.25,0.25,0.5,0.0,1.0397207705399178,0.0,0.0,burn-in
2,0.5,0.25,0.25,0.018749999999999996,1.0397207705399178,0.0004124789556921335,0.0004124789556921335,burn-in
3,0.25,0.5,0.25,0.07499999999999997,1.0397207705399178,0.0020996238088974288,0.0016871448532052953,burn-in
4,0.5,0.0,0.5,0.09374999999999994,0.6931471803599453,0.0014048218056235955,0.0006948020032738333,burn-in
5,0.25,0.5,0.25,0.14999999999999997,1.0397207705399178,0.0010062737229777558,0.0003985480826458397,burn-in
6,0.0,0.25,0.75,0.09374999999999992,0.5623351444188083,0.0017973504805685672,0.0007910767575908114,burn-in
7,0.25,0.5,0.25,0.14999999999999986,1.0397207705399178,0.007609102279507095,0.005811751798938528,burn-in
8,0.25,0.5,0.25,0.16874999999999987,1.0397207705399178,0.010603388969517664,0.002994286690010569,burn-in
9,0.25,0.5,0.25,0.09374999999999989,1.0397207705399178,0.014117976990544921,0.003514588021027257,burn-in
10,0.5,0.25,0.25,0.037499999999999825,1.0397207705399178,0.015809631382307603,0.001691654391762682,burn-in
11,0.5,0.25,0.25,0.09374999999999983,1.0397207705399178,0.01749063489493101,0.0016810035126234059,burn-in
12,0.25,0.5,0.25,0.03749999999999981,1.0397207705399178,0.019310207523052007,0.0018195726281209981,burn-in
13,0.25,0.5,0.25,0.0562499999999998,1.0397207705399178,0.01900835890689501,0.00030184861615699735,burn-in
14,0.25,0.25,0.5,0.1312499999999998,1.0397207705399178,0.015676249285676336,0.0033321096212186735,burn-in
15,0.75,0.0,0.25,0.05624999999999984,0.5623351444188083,0.01945289003093262,0.003776640745256285,burn-in
16,0.25,0.25,0.5,-0.01875000000000014,1.0397207705399178,0.02347756760304523,0.004024677572112608,burn-in
17,0.0,0.25,0.75,0.0374999999999997,0.5623351444188083,0.021969804483148694,0.001507763119896536,burn-in
18,0.75,0.25,0.0,0.11249999999999975,0.5623351444188083,0.018452230462136003,0.0035175740210126906,burn-in
19,0.5,0.5,0.0,0.05624999999999976,0.6931471803599453,0.02011291907926078,0.0016606886171247753,burn-in
20,0.5,0.5,0.0,0.1124999999999998,0.6931471803599453,0.01860351342638154,0.0015094056528792386,burn-in
21,0.5,0.25,0.25,0.18749999999999983,1.0397207705399178,0.022075558772970863,0.003472045346589323,burn-in
22,0.5,0.0,0.5,0.24374999999999986,0.6931471803599453,0.02254093498504446,0.00046537621207359825,burn-in
23,0.5,0.25,0.25,0.2624999999999998,1.0397207705399178,0.022257109117088898,0.000283825867955563,burn-in
24,0.0,0.75,0.25,0.3187499999999998,0.5623351444188083,0.02069541850802306,0.001561690609065837,burn-in
25,0.5,0.5,0.0,0.3937499999999998,0.6931471803599453,0.024272505307217238,0.0035770867991941763,burn-in
26,0.25,0.25,0.5,0.33749999999999986,1.0397207705399178,0.025939942990706677,0.0016674376834894394,burn-in
27,0.5,0.0,0.5,0.26249999999999984,0.6931471803599453,0.029242023188194282,0.003302080197487605,burn-in
28,0.25,0.25,0.5,0.18749999999999978,1.0397207705399178,0.03341966035010936,0.00417763716191508,burn-in
29,0.5,0.25,0.25,0.2437499999999998,1.0397207705399178,0.03385941625965292,0.00043975590954355853,burn-in
30,0.5,0.0,0.5,0.2624999999999998,0.6931471803599453,0.03501902384776032,0.0011596075881073961,burn-in
31,0.5,0.25,0.25,0.33749999999999986,1.0397207705399178,0.03126169919894888,0.0037573246488114345,burn-in
32,0.25,0.25,0.5,0.3937499999999998,1.0397207705399178,0.029237859541279016,0.002023839657669866,burn-in
33,0.0,0.5,0.5,0.44999999999999984,0.6931471803599453,0.027576314565220705,0.0016615449760583115,burn-in
34,0.5,0.25,0.25,0.5062499999999999,1.0397207705399178,0.028039445491525414,0.0004631309263047091,burn-in
