round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,personality_velocity,phase
1,0.5,0.5,0.0,0.05624999999999997,0.6931471803599453,0.0027252078475778893,0.0027252078475778893,burn-in
2,0.5,0.25,0.25,-0.018750000000000044,1.0397207705399178,0.008017376148871942,0.005292168301294053,burn-in
3,0.5,0.25,0.25,0.03749999999999992,1.0397207705399178,0.008599827396523776,0.0005824512476518343,burn-in
4,0.0,0.75,0.25,0.09374999999999983,0.5623351444188083,0.006789597396937505,0.0018102299995862714,burn-in
5,0.75,0.0,0.25,0.16874999999999996,0.5623351444188083,0.005455519710577561,0.001334077686359944,burn-in
6,0.25,0.75,0.0,0.16874999999999996,0.5623351444188083,0.005455519710577561,0.0,burn-in
7,0.5,0.25,0.25,0.1875,1.0397207705399178,0.007207987106328655,0.001752467395751094,burn-in
8,0.5,0.0,0.5,0.26249999999999996,0.6931471803599453,0.008415132389035851,0.001207145282707196,burn-in
9,0.25,0.5,0.25,0.3187499999999999,1.0397207705399178,0.0074128398952425885,0.0010022924937932625,burn-in
10,0.25,0.5,0.25,0.3374999999999999,1.0397207705399178,0.004339588834209979,0.0030732510610326095,burn-in
11,0.75,0.25,0.0,0.3562499999999998,0.5623351444188083,0.004626266718424264,0.00028667788421428506,burn-in
12,0.0,0.25,0.75,0.3749999999999998,0.5623351444188083,0.0049002750241695665,0.0002740083057453024,burn-in
13,0.5,0.5,0.0,0.4312499999999998,0.6931471803599453,0.004246321937865763,0.0006539530863038032,burn-in
14,0.25,0.25,0.5,0.4874999999999998,1.0397207705399178,0.005722249612259135,0.001475927674393372,burn-in
15,0.0,0.5,0.5,0.41249999999999976,0.6931471803599453,0.005290948934265046,0.0004313006779940896,burn-in
16,0.5,0.0,0.5,0.4687499999999998,0.6931471803599453,0.004611996076808827,0.0006789528574562189,burn-in
17,0.5,0.0,0.5,0.5249999999999998,0.6931471803599453,0.0038961118438771676,0.0007158842329316592,burn-in
18,0.25,0.5,0.25,0.5437499999999997,1.0397207705399178,0.0037201940473582766,0.00017591779651889104,burn-in
19,0.5,0.5,0.0,0.5624999999999998,0.6931471803599453,0.0037631280621977124,4.2934014839435784e-05,burn-in
20,0.5,0.25,0.25,0.5062499999999998,1.0397207705399178,0.004669967210805692,0.0009068391486079797,burn-in
21,0.5,0.25,0.25,0.5812499999999996,1.0397207705399178,0.005965722399676385,0.0012957551888706934,burn-in
22,0.25,0.75,0.0,0.6374999999999997,0.5623351444188083,0.003834974739160665,0.0021307476605157204,burn-in
23,0.25,0.5,0.25,0.6937499999999996,1.0397207705399178,0.006025094008602754,0.002190119269442089,burn-in
24,0.25,0.25,0.5,0.6187499999999998,1.0397207705399178,0.011746550357977545,0.005721456349374791,burn-in
25,0.25,0.0,0.75,0.6749999999999997,0.5623351444188083,0.009602500081359131,0.0021440502766184137,burn-in
26,0.25,0.25,0.5,0.5999999999999996,1.0397207705399178,0.015815988992551322,0.006213488911192191,burn-in
27,0.5,0.25,0.25,0.6749999999999997,1.0397207705399178,0.01022658338901622,0.0055894056035351025,burn-in
28,0.25,0.5,0.25,0.7499999999999998,1.0397207705399178,0.007508133610458839,0.0027184497785573804,burn-in
29,0.5,0.25,0.25,0.8062499999999997,1.0397207705399178,0.004031128874149347,0.0034770047363094922,burn-in
