round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,personality_velocity,phase
1,0.25,0.75,0.0,0.0,0.5623351444188083,0.0,0.0,burn-in
2,0.25,0.25,0.5,0.056249999999999994,1.0397207705399178,0.0007686483672655653,0.0007686483672655653,burn-in
3,0.25,0.5,0.25,0.0,1.0397207705399178,0.0036289041476043624,0.002860255780338797,burn-in
4,0.0,0.75,0.25,0.056249999999999994,0.5623351444188083,0.0016056540723331488,0.0020232500752712136,burn-in
5,0.0,1.0,0.0,0.07499999999999997,-1.000000082690371e-10,0.005552044246266429,0.00394639017393328,burn-in
6,0.0,0.75,0.25,0.13124999999999998,0.5623351444188083,0.0031124748994971834,0.0024395693467692456,burn-in
7,0.0,0.75,0.25,0.1875,0.5623351444188083,0.0013852600162063459,0.0017272148832908375,burn-in
8,0.5,0.0,0.5,0.26250000000000007,0.6931471803599453,0.004743931155961298,0.0033586711397549525,burn-in
9,0.25,0.5,0.25,0.31875000000000003,1.0397207705399178,0.004014135180832869,0.0007297959751284295,burn-in
10,0.75,0.25,0.0,0.24375000000000005,0.5623351444188083,0.004551356253909385,0.0005372210730765162,burn-in
11,0.5,0.25,0.25,0.18750000000000006,1.0397207705399178,0.007482596996531375,0.00293124074262199,burn-in
12,0.0,0.25,0.75,0.20625000000000004,0.5623351444188083,0.006952686081652187,0.0005299109148791878,burn-in
13,0.0,0.25,0.75,0.15000000000000002,0.5623351444188083,0.017036896999600593,0.010084210917948404,burn-in
14,0.25,0.25,0.5,0.16875,1.0397207705399178,0.019518295703967077,0.0024813987043664845,burn-in
15,0.25,0.0,0.75,0.24375,0.5623351444188083,0.01694300533221599,0.0025752903717510857,burn-in
16,0.25,0.75,0.0,0.31875,0.5623351444188083,0.020239074020011367,0.0032960686877953754,burn-in
17,0.5,0.25,0.25,0.39375000000000004,1.0397207705399178,0.02451695443336098,0.004277880413349613,burn-in
18,0.25,0.25,0.5,0.31875000000000003,1.0397207705399178,0.030352277380577223,0.005835322947216243,burn-in
19,0.0,1.0,0.0,0.37499999999999994,-1.000000082690371e-10,0.03241825657519233,0.002065979194615108,burn-in
20,0.25,0.25,0.5,0.43125,1.0397207705399178,0.023750596209621784,0.008667660365570547,burn-in
21,0.75,0.0,0.25,0.45000000000000007,0.5623351444188083,0.02325718135060652,0.0004934148590152627,burn-in
22,0.25,0.5,0.25,0.46875,1.0397207705399178,0.022767785801708934,0.0004893955488975872,burn-in
23,0.5,0.25,0.25,0.4875,1.0397207705399178,0.02703587388198314,0.004268088080274207,burn-in
24,0.0,0.25,0.75,0.5624999999999999,0.5623351444188083,0.021314997104445007,0.005720876777538134,burn-in
25,0.0,0.75,0.25,0.5812499999999998,0.5623351444188083,0.02187779000064906,0.0005627928962040514,burn-in
26,0.25,0.0,0.75,0.6375,0.5623351444188083,0.01972548419082534,0.0021523058098237187,burn-in
27,0.5,0.0,0.5,0.6937499999999999,0.6931471803599453,0.017416990626971125,0.002308493563854215,burn-in
28,1.0,0.0,0.0,0.7499999999999998,-1.000000082690371e-10,0.019852212762372375,0.00243522213540125,burn-in
29,0.0,0.25,0.75,0.7499999999999998,0.5623351444188083,0.019852212762372375,0.0,burn-in
30,0.25,0.5,0.25,0.7687499999999999,1.0397207705399178,0.024049590692982716,0.004197377930610341,burn-in
31,0.5,0.25,0.25,0.6937499999999999,1.0397207705399178,0.029988409219230062,0.005938818526247346,burn-in
32,0.0,0.25,0.75,0.7124999999999999,0.5623351444188083,0.02953812750603026,0.0004502817131998016,burn-in
33,0.25,0.5,0.25,0.73125,1.0397207705399178,0.029092390542889392,0.0004457369631408678,burn-in
34,0.5,0.5,0.0,0.8062499999999999,0.6931471803599453,0.03447610132396063,0.005383710781071239,burn-in
35,0.0,0.0,1.0,0.8249999999999998,-1.000000082690371e-10,0.0337618758041152,0.0007142255198454295,burn-in
