round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,personality_velocity,phase
1,0.25,0.25,0.5,0.0,1.0397207705399178,0.0,0.0,burn-in
2,0.5,0.25,0.25,0.018749999999999996,1.0397207705399178,0.0006187184335382525,0.0006187184335382525,burn-in
3,0.25,0.5,0.25,0.07499999999999997,1.0397207705399178,0.0031494357133461303,0.002530717279807878,burn-in
4,0.5,0.0,0.5,0.09374999999999994,0.6931471803599453,0.0021072327084353986,0.0010422030049107318,burn-in
5,0.25,0.5,0.25,0.14999999999999997,1.0397207705399178,0.0015094105844666891,0.0005978221239687095,burn-in
6,0.0,0.25,0.75,0.09374999999999992,0.5623351444188083,0.0026960257208528404,0.0011866151363861513,burn-in
7,0.25,0.5,0.25,0.14999999999999986,1.0397207705399178,0.011413653419260655,0.008717627698407815,burn-in
8,0.25,0.5,0.25,0.16874999999999987,1.0397207705399178,0.015905083454276523,0.004491430035015868,burn-in
9,0.25,0.5,0.25,0.09374999999999989,1.0397207705399178,0.02117696548581741,0.0052718820315408865,burn-in
10,0.5,0.25,0.25,0.037499999999999825,1.0397207705399178,0.023714447073461414,0.002537481587644004,burn-in
11,0.5,0.25,0.25,0.09374999999999983,1.0397207705399178,0.026235952342396566,0.002521505268935152,burn-in
12,0.25,0.5,0.25,0.03749999999999981,1.0397207705399178,0.028965311284578056,0.0027293589421814902,burn-in
13,0.25,0.5,0.25,0.0562499999999998,1.0397207705399178,0.02851253836034252,0.0004527729242355359,burn-in
14,0.25,0.25,0.5,0.1312499999999998,1.0397207705399178,0.023514373928514524,0.004998164431827996,burn-in
15,0.75,0.0,0.25,0.05624999999999984,0.5623351444188083,0.029179335046398944,0.005664961117884421,burn-in
16,0.25,0.25,0.5,-0.01875000000000014,1.0397207705399178,0.03521635140456786,0.006037016358168914,burn-in
17,0.0,0.25,0.75,0.0374999999999997,0.5623351444188083,0.03295470672472306,0.0022616446798447987,burn-in
18,0.75,0.25,0.0,0.11249999999999975,0.5623351444188083,0.027678345693204032,0.005276361031519027,burn-in
19,0.5,0.5,0.0,0.05624999999999976,0.6931471803599453,0.03016937861889117,0.0024910329256871387,burn-in
20,0.5,0.5,0.0,0.1124999999999998,0.6931471803599453,0.02790527013957232,0.0022641084793188528,burn-in
21,0.5,0.25,0.25,0.18749999999999983,1.0397207705399178,0.033113338159456336,0.005208068019884018,burn-in
22,0.5,0.0,0.5,0.24374999999999986,0.6931471803599453,0.03381140247756676,0.0006980643181104251,burn-in
23,0.5,0.25,0.25,0.2624999999999998,1.0397207705399178,0.033385663675633385,0.00042573880193337577,burn-in
24,0.0,0.75,0.25,0.3187499999999998,0.5623351444188083,0.031043127762034634,0.002342535913598752,burn-in
25,0.5,0.5,0.0,0.3937499999999998,0.6931471803599453,0.03640875796082593,0.005365630198791299,burn-in
26,0.25,0.25,0.5,0.33749999999999986,1.0397207705399178,0.03890991448606007,0.0025011565252341383,burn-in
27,0.5,0.0,0.5,0.26249999999999984,0.6931471803599453,0.04386303478229146,0.004953120296231392,burn-in
28,0.25,0.25,0.5,0.18749999999999978,1.0397207705399178,0.05012949052516407,0.006266455742872608,burn-in
29,0.5,0.25,0.25,0.2437499999999998,1.0397207705399178,0.05078912438947944,0.000659633864315369,burn-in
30,0.5,0.0,0.5,0.2624999999999998,0.6931471803599453,0.052528535771640496,0.001739411382161056,burn-in
31,0.5,0.25,0.25,0.33749999999999986,1.0397207705399178,0.04689254879842331,0.005635986973217183,burn-in
32,0.25,0.25,0.5,0.3937499999999998,1.0397207705399178,0.0438567893119185,0.0030357594865048146,burn-in
33,0.0,0.5,0.5,0.44999999999999984,0.6931471803599453,0.041364471847831055,0.002492317464087443,burn-in
34,0.5,0.25,0.25,0.5062499999999999,1.0397207705399178,0.04205916823728815,0.0006946963894570932,burn-in
35,0.5,0.25,0.25,0.5249999999999998,1.0397207705399178,0.04160676683996255,0.0004524013973256011,burn-in
36,0.75,0.25,0.0,0.5437499999999997,0.5623351444188083,0.041157531301239454,0.00044923553872309313,burn-in
37,0.25,0.75,0.0,0.46874999999999967,0.5623351444188083,0.047258483448080604,0.00610095214684115,burn-in
38,0.25,0.0,0.75,0.5437499999999997,0.5623351444188083,0.04185891715408448,0.0053995662939961275,burn-in
39,0.25,0.5,0.25,0.5624999999999997,1.0397207705399178,0.04342002796089619,0.0015611108068117122,burn-in
40,0.5,0.25,0.25,0.6374999999999996,1.0397207705399178,0.04879310994520648,0.005373081984310288,burn-in
41,0.0,0.5,0.5,0.6937499999999995,0.6931471803599453,0.05132474541765901,0.002531635472452533,burn-in
42,0.0,1.0,0.0,0.7687499999999995,-1.000000082690371e-10,0.04647852116502319,0.004846224252635818,burn-in
43,0.25,0.75,0.0,0.8249999999999995,0.5623351444188083,0.04411371137469626,0.0023648097903269313,burn-in
44,0.5,0.5,0.0,0.8999999999999995,0.6931471803599453,0.03960513105962413,0.004508580315072133,burn-in
45,0.5,0.5,0.0,0.9187499999999995,0.6931471803599453,0.04005104165312065,0.0004459105934965235,burn-in
46,0.75,0.25,0.0,0.9937499999999995,0.5623351444188083,0.03593668477336221,0.004114356879758439,burn-in
47,0.25,0.5,0.25,0.9187499999999994,1.0397207705399178,0.040566207457685834,0.004629522684323623,burn-in
48,0.25,0.25,0.5,0.9749999999999994,1.0397207705399178,0.038851731380338844,0.0017144760773469894,burn-in
49,0.5,0.25,0.25,0.8999999999999995,1.0397207705399178,0.04247651005261625,0.0036247786722774025,burn-in
50,0.5,0.25,0.25,0.9562499999999995,1.0397207705399178,0.045122976495489645,0.0026464664428733978,burn-in
51,0.75,0.0,0.25,0.9749999999999994,0.5623351444188083,0.0447663857919646,0.0003565907035250476,burn-in
52,0.25,0.25,0.5,0.9749999999999994,1.0397207705399178,0.0447663857919646,0.0,burn-in
53,0.0,0.25,0.75,1.0312499999999996,0.5623351444188083,0.042590677622133546,0.0021757081698310504,burn-in
54,0.5,0.25,0.25,1.0874999999999995,1.0397207705399178,0.04047831691937064,0.002112360702762904,burn-in
55,0.25,0.25,0.5,1.1437499999999994,1.0397207705399178,0.03794850283196303,0.002529814087407614,burn-in
56,0.75,0.0,0.25,1.0874999999999995,0.5623351444188083,0.03969611127050114,0.0017476084385381133,burn-in
57,0.0,0.25,0.75,1.1624999999999994,0.5623351444188083,0.03506667755861689,0.004629433711884248,burn-in
58,0.0,0.25,0.75,1.2187499999999993,0.5623351444188083,0.03771807683740659,0.0026513992787896984,burn-in
59,0.5,0.5,0.0,1.2937499999999993,0.6931471803599453,0.03440369540925082,0.003314381428155773,burn-in
60,0.75,0.0,0.25,1.3124999999999991,0.5623351444188083,0.035279935205793755,0.0008762397965429367,burn-in
61,0.25,0.0,0.75,1.3312499999999992,0.5623351444188083,0.038349543673947495,0.0030696084681537394,burn-in
62,1.0,0.0,0.0,1.3499999999999992,-1.000000082690371e-10,0.0380506062082131,0.0002989374657343946,burn-in
63,0.25,0.0,0.75,1.4062499999999991,0.5623351444188083,0.03629081753694733,0.0017597886712657704,burn-in
64,0.0,0.25,0.75,1.462499999999999,0.5623351444188083,0.03472831213955702,0.001562505397390307,burn-in
65,0.5,0.25,0.25,1.481249999999999,1.0397207705399178,0.03744711114108142,0.0027187990015243996,burn-in
66,0.0,0.5,0.5,1.5374999999999992,0.6931471803599453,0.031300147264030624,0.006146963877050798,burn-in
67,0.0,0.5,0.5,1.5937499999999991,0.6931471803599453,0.03201996752516317,0.0007198202611325491,burn-in
68,0.25,0.0,0.75,1.6124999999999992,0.5623351444188083,0.03241757878161947,0.00039761125645629974,burn-in
69,0.25,0.25,0.5,1.556249999999999,1.0397207705399178,0.04032394459638724,0.007906365814767766,burn-in
70,0.0,0.5,0.5,1.612499999999999,0.6931471803599453,0.03794506720247055,0.0023788773939166855,burn-in
71,0.5,0.25,0.25,1.6687499999999988,1.0397207705399178,0.03559501204961876,0.0023500551528517905,burn-in
72,0.5,0.25,0.25,1.724999999999999,1.0397207705399178,0.03807296654123509,0.0024779544916163285,burn-in
73,0.25,0.25,0.5,1.7812499999999991,1.0397207705399178,0.03572121054517197,0.002351755996063118,burn-in
74,0.25,0.25,0.5,1.7999999999999987,1.0397207705399178,0.03538115560400768,0.0003400549411642917,burn-in
75,0.75,0.25,0.0,1.8562499999999988,0.5623351444188083,0.03607732310174224,0.0006961674977345594,burn-in
76,0.0,0.5,0.5,1.781249999999999,0.6931471803599453,0.04006034266812389,0.003983019566381647,burn-in
77,0.25,0.0,0.75,1.799999999999999,0.5623351444188083,0.044179830487169246,0.004119487819045357,burn-in
78,0.25,0.5,0.25,1.8562499999999988,1.0397207705399178,0.04178064229176601,0.0023991881954032387,burn-in
79,0.75,0.25,0.0,1.8749999999999987,0.5623351444188083,0.04551640543872622,0.003735763146960211,burn-in
80,0.5,0.25,0.25,1.9499999999999988,1.0397207705399178,0.041258628358956696,0.004257777079769522,burn-in
81,0.25,0.25,0.5,1.8937499999999987,1.0397207705399178,0.04369671978893275,0.002438091429976051,burn-in
82,0.5,0.0,0.5,1.9124999999999985,0.6931471803599453,0.044194184872701395,0.0004974650837686473,burn-in
83,0.25,0.0,0.75,1.9312499999999986,0.5623351444188083,0.045468223794206085,0.0012740389215046902,burn-in
84,0.25,0.75,0.0,1.9499999999999984,0.5623351444188083,0.0459808681342035,0.0005126443399974118,burn-in
85,0.25,0.25,0.5,1.9687499999999982,1.0397207705399178,0.04978865489496588,0.003807786760762384,burn-in
86,0.0,1.0,0.0,1.9124999999999983,-1.000000082690371e-10,0.05937685852354444,0.00958820362857856,burn-in
87,0.0,0.25,0.75,1.9312499999999984,0.5623351444188083,0.06347391196389277,0.004097053440348324,burn-in
88,0.5,0.25,0.25,1.8562499999999984,1.0397207705399178,0.06967351317035775,0.006199601206464983,burn-in
89,0.25,0.5,0.25,1.8749999999999982,1.0397207705399178,0.06902907137802532,0.0006444417923324314,burn-in
90,0.75,0.25,0.0,1.893749999999998,0.5623351444188083,0.06838719612434781,0.0006418752536775096,burn-in
91,0.0,0.25,0.75,1.912499999999998,0.5623351444188083,0.0679366447163275,0.00045055140802030547,burn-in
92,0.5,0.25,0.25,1.9687499999999982,1.0397207705399178,0.06539176559638461,0.002544879119942889,burn-in
93,0.5,0.0,0.5,2.024999999999998,0.6931471803599453,0.0676985505753263,0.002306784978941684,burn-in
94,0.25,0.25,0.5,2.081249999999998,1.0397207705399178,0.06835475162936747,0.0006562010540411695,burn-in
95,0.75,0.25,0.0,2.156249999999998,0.5623351444188083,0.06323422635576809,0.00512052527359938,burn-in
96,0.25,0.0,0.75,2.2124999999999977,0.5623351444188083,0.06390315548742499,0.0006689291316569063,burn-in
97,0.25,0.5,0.25,2.268749999999998,1.0397207705399178,0.06131418034139829,0.002588975146026705,burn-in
98,0.0,0.25,0.75,2.3249999999999975,0.5623351444188083,0.061989965795885164,0.0006757854544868769,burn-in
